Clark YH
1.0000000 0.0200000
0.9500000 0.0285000
0.9000000 0.0370000
0.8000000 0.0560000
0.7000000 0.0755000
0.6000000 0.0910000
0.5000000 0.1050000
0.4000000 0.1145000
0.3000000 0.1190000
0.2000000 0.1130000
0.1500000 0.1080000
0.1000000 0.0980000
0.0750000 0.0900000
0.0500000 0.0810000
0.0250000 0.0680000
0.0000000 0.0410000
0.0250000 0.0185000
0.0500000 0.0120000
0.0750000 0.0070000
0.1000000 0.0045000
0.1500000 0.0000000
0.2000000 0.0000000
0.3000000 0.0000000
0.4000000 0.0000000
0.5000000 0.0000000
0.6000000 0.0000000
0.7000000 0.0000000
0.8000000 0.0040000
0.9000000 0.0100000
0.9500000 0.0137000
1.0000000 0.0200000
